title	url	form_number	description
Demande d'attestation d'accueil	https://www.service-public.gouv.fr/particuliers/vosdroits/R10751		""
Demande d'inscription sur les listes électorales	https://www.service-public.gouv.fr/particuliers/vosdroits/R16024		""
Demande de certificat d'immatriculation d'un véhicule	https://www.service-public.gouv.fr/particuliers/vosdroits/R13567		""
Déclaration 2025 des revenus 2024 (papier) (Formulaire 10330)	https://www.service-public.gouv.fr/particuliers/vosdroits/R1281	10330	""
Fonctionnaire de l'État, magistrat ou militaire décédé en activité - Demande de pension de réversion et de rente d’éducation ou handicap (Formulaire 12231*08)	https://www.service-public.gouv.fr/particuliers/vosdroits/R10692	12231*08	""
Demande de prise en charge d'hospitalisation au titre de l'article L.212-1 du code des pensions militaires d'invalidité et des victimes de guerre (CPMIVG) (Formulaire 14448*04)	https://www.service-public.gouv.fr/particuliers/vosdroits/R10762	14448*04	""
Déclaration de contrat de prêt (Formulaire 10142)	https://www.service-public.gouv.fr/particuliers/vosdroits/R1087	10142	""
Déclaration récapitulative des opérations sur valeurs mobilières et revenus de capitaux mobiliers (Formulaire 11428)	https://www.service-public.gouv.fr/particuliers/vosdroits/R10883	11428	""
Déclarer son médecin traitant (Formulaire 12485*03)	https://www.service-public.gouv.fr/particuliers/vosdroits/R10884	12485*03	""
Premier certificat de santé (Formulaire 12596*04)	https://www.service-public.gouv.fr/particuliers/vosdroits/R10917	12596*04	""
Attestation de travaux d'amélioration de la performance énergétique pouvant donner lieu à une participation du locataire du parc public (Formulaire 13967*01)	https://www.service-public.gouv.fr/particuliers/vosdroits/R10933	13967*01	""
Demande d'agrément d'une association d'usagers du système de santé - Fiche A (Formulaire 12623*02)	https://www.service-public.gouv.fr/particuliers/vosdroits/R10946	12623*02	""
Déclaration de candidature aux concours nationaux d'agrégation pour le recrutement des professeurs des universités (Formulaire 11430*01)	https://www.service-public.gouv.fr/particuliers/vosdroits/R11172	11430*01	""
Demande de renouvellement d'agrément d'une association d'usagers du système de santé - Fiche A bis (Formulaire 14161*01)	https://www.service-public.gouv.fr/particuliers/vosdroits/R11224	14161*01	""
RSA - Demande complémentaire pour un jeune de moins de 25 ans (Formulaire 14130*02)	https://www.service-public.gouv.fr/particuliers/vosdroits/R11225	14130*02	""
Demander l'exonération de la taxe d'habitation pour chambres d'hôtes et meublés de tourisme situés en zone France de revitalisation rurale (ZFRR ou ZFRR+) (Formulaire 13567*02)	https://www.service-public.gouv.fr/particuliers/vosdroits/R11242	13567*02	""
